x0000,y0000,x0001,y0001,x0002,y0002
97,0.003946900368,97,0.4651843607,97,0.0893842876,
98,0.003789208829,98,0.4646960795,98,0.09280928969,
99,0.003684796393,99,0.4661609232,99,0.09647884965,
100,0.003819696605,100,0.4651843607,100,0.09892526269,
101,0.004134446383,101,0.4622546732,101,0.1003930867,
102,0.003772541881,102,0.4622546732,102,0.1045519412,
103,0.003748238087,103,0.4634753764,103,0.1079768836,
104,0.003921061754,104,0.4620105326,104,0.1101786792,
105,0.004051826894,105,0.4600574076,105,0.1123804152,
106,0.003679528832,106,0.459813267,106,0.1165392697,
107,0.003632195294,107,0.4605456889,107,0.1199642122,
108,0.003755226731,108,0.4585925639,108,0.1221660078,
109,0.003902867436,109,0.4551745951,109,0.1238784492,
110,0.003653138876,110,0.4571277201,110,0.1282819808,
