x0000,y0000
1.575,0.5786380172,
1.58,0.5836548209,
1.585,0.5886728764,
1.59,0.5936919451,
1.595,0.5987117887,
1.6,0.6037317514,
1.605,0.6087520719,
1.61,0.6137733459,
1.615,0.6187955737,
1.62,0.6238190532,
1.625,0.628844142,
1.63,0.6338684559,
1.635,0.6388923526,
1.64,0.6439166665,
1.645,0.6489409208,
1.65,0.6539657116,
1.655,0.6589910984,
1.66,0.664016068,
1.665,0.6690402031,
1.67,0.674063623,
1.675,0.6790866852,
1.68,0.6841097474,
1.685,0.6891337633,
1.69,0.6941586137,
1.695,0.6991839409,
1.7,0.704208672,
1.705,0.7092326283,
1.71,0.7142547965,
1.715,0.7192755938,
1.72,0.7242957354,
1.725,0.7293154597,
1.73,0.7343346477,
1.735,0.7393532991,
1.74,0.7443711162,
1.745,0.7493878007,
1.75,0.7544031143,
1.755,0.7594178915,
1.76,0.7644320726,
1.765,0.7694461942,
1.77,0.7744591236,
1.775,0.7794709802,
1.78,0.7844820023,
1.785,0.7894921303,
1.79,0.7945013642,
1.795,0.7995108962,
1.8,0.8045210838,
1.805,0.8095315695,
1.81,0.8145416975,
1.815,0.8195512295,
1.82,0.8245595098,
1.825,0.8295668364,
1.83,0.8345736265,
1.835,0.8395810127,
1.84,0.8445888162,
1.845,0.8495964408,
1.85,0.854604423,
1.855,0.8596125245,
1.86,0.8646199107,
1.865,0.8696274757,
1.87,0.874636054,
1.875,0.8796439171,
1.88,0.8846545219,
1.885,0.8896636963,
1.89,0.8946729898,
1.895,0.8996816874,
1.9,0.9046906233,
1.905,0.9097004533,
1.91,0.914712131,
1.915,0.9197250605,
1.92,0.9247386456,
1.925,0.9297522902,
1.93,0.9347658753,
1.935,0.9397785664,
1.94,0.944791615,
1.945,0.9498050809,
1.95,0.9548192024,
1.955,0.9598338008,
1.96,0.9648483396,
1.965,0.9698630571,
1.97,0.9748771191,
1.975,0.9798904061,
1.98,0.984903872,
1.985,0.9899172187,
1.99,0.9949302673,
1.995,0.9999423623,
2,0.004953156691,
2.005,0.009962684475,
2.01,0.01497149747,
2.015,0.01997959428,
2.02,0.02498761378,
2.025,0.02999515645,
2.03,0.03500190377,
2.035,0.04000714421,
2.04,0.04501039907,
2.045,0.05001175031,
2.05,0.05501127243,
2.055,0.06000928953,
2.06,0.06500674784,
2.065,0.07000293583,
2.07,0.0749976933,
2.075,0.07999102771,
2.08,0.08498221636,
2.085,0.08997165412,
2.09,0.09495998174,
2.095,0.09994696081,
2.1,0.1049321145,
2.105,0.1099155992,
2.11,0.114897579,
2.115,0.1198767796,
2.12,0.1248547062,
2.125,0.1298311949,
2.13,0.1348077059,
2.135,0.1397841275,
2.14,0.144759357,
2.145,0.149733305,
2.15,0.1547060758,
2.155,0.1596774161,
2.16,0.1646474898,
2.165,0.1696168333,
2.17,0.1745864302,
2.175,0.17955634,
2.18,0.1845251322,
2.185,0.1894937754,
2.19,0.1944621801,
2.195,0.1994300187,
2.2,0.2043978721,
2.205,0.2093667388,
2.21,0.2143354565,
2.215,0.219304502,
2.22,0.2242735326,
2.225,0.2292421758,
2.23,0.2342108041,
2.235,0.2391804755,
2.24,0.2441514283,
2.245,0.2491239458,
2.25,0.2540978193,
2.255,0.2590721846,
2.26,0.2640470862,
2.265,0.2690224051,
2.27,0.2739976943,
2.275,0.27897349,
2.28,0.2839506269,
2.285,0.2889291942,
2.29,0.2939084768,
2.295,0.2988882959,
2.3,0.303869158,
